X,Z
5E6,7FF
5E7,7FF
5E8,7FF
5E9,7FF
5EA,7FF
5EB,7FF
5EC,7FF
5ED,7FF
5EE,7FF
5EF,7FF
5F0,7FF
5F1,7FF
5F2,7FF
5F3,7FF
5F4,7FF
5F5,7FF
5F6,7FF
5F7,7FF
5F8,7FF
5F9,7FF
5FA,7FF
5FB,7FF
5FC,7FF
5FD,7FF
5FE,7FF
5FF,7FF
600,7FF
601,7FF
602,7FF
603,7FF
604,7FF
605,7FF
606,7FF
607,7FF
608,7FF
609,7FF
60A,7FF
60B,7FF
60C,7FF
60D,7FF
60E,7FF
60F,7FF
610,7FF
611,7FF
612,7FF
613,7FF
614,7FF
615,7FF
616,7FF
617,7FF
618,7FF
619,7FF
61A,7FF
61B,7FF
61C,7FF
61D,7FF
61E,7FF
61F,7FF
620,7FF
621,7FF
622,7FF
623,7FF
624,7FF
625,7FF
626,7FF
627,7FF
628,7FF
629,7FF
62A,7FF
62B,7FF
62C,7FF
62D,7FF
62E,7FF
62F,7FF
630,7FF
631,7FF
632,7FF
633,7FF
634,7FF
635,7FF
636,7FF
637,7FF
638,7FF
639,7FF
63A,7FF
63B,7FF
63C,7FF
63D,7FF
63E,7FF
63F,7FF
640,7FF
641,7FF
642,7FF
643,7FF
644,7FF
645,7FF
646,7FF
647,7FF
648,7FF
649,7FF
64A,7FF
64B,7FF
64C,7FF
64D,7FF
64E,7FF
64F,7FF
650,7FF
651,7FF
652,7FF
653,7FF
654,7FF
655,7FF
656,7FF
657,7FF
658,7FF
659,7FF
65A,7FF
65B,7FF
65C,7FF
65D,7FF
65E,7FF
65F,7FF
660,7FF
661,7FF
662,7FF
663,7FF
664,7FF
665,7FF
666,7FF
667,7FF
668,7FF
669,7FF
66A,7FF
66B,7FF
66C,7FF
66D,7FF
66E,7FF
66F,7FF
670,7FF
671,7FF
672,7FF
673,7FF
674,7FF
675,7FF
676,7FF
677,7FF
678,7FF
679,7FF
67A,7FF
67B,7FF
67C,7FF
67D,7FF
67E,7FF
67F,7FF
680,7FF
681,7FF
682,7FF
683,7FF
684,7FF
685,7FF
686,7FF
687,7FF
688,7FF
689,7FF
68A,7FF
68B,7FF
68C,7FF
68D,7FF
68E,7FF
68F,7FF
690,7FF
691,7FF
692,7FF
693,7FF
694,7FF
695,7FF
696,7FF
697,7FF
698,7FF
699,7FF
69A,7FF
69B,7FF
69C,7FF
69D,7FF
69E,7FF
69F,7FF
6A0,7FF
6A1,7FF
6A2,7FF
6A3,7FF
6A4,7FF
6A5,7FF
6A6,7FF
6A7,7FF
6A8,7FF
6A9,7FF
6AA,7FF
6AB,7FF
6AC,7FF
6AD,7FF
6AE,7FF
6AF,7FF
6B0,7FF
6B1,7FF
6B2,7FF
6B3,7FF
6B4,7FF
6B5,7FF
6B6,7FF
6B7,7FF
6B8,7FF
6B9,7FF
6BA,7FF
6BB,7FF
6BC,7FF
6BD,7FF
6BE,7FF
6BF,7FF
6C0,7FF
6C1,7FF
6C2,7FF
6C3,7FF
6C4,7FF
6C5,7FF
6C6,7FF
6C7,7FF
6C8,7FF
6C9,7FF
6CA,7FF
6CB,7FF
6CC,7FF
6CD,7FF
6CE,7FF
6CF,7FF
6D0,7FF
6D1,7FF
6D2,7FF
6D3,7FF
6D4,7FF
6D5,7FF
6D6,7FF
6D7,7FF
6D8,7FF
6D9,7FF
6DA,7FF
6DB,7FF
6DC,7FF
6DD,7FF
6DE,7FF
6DF,7FF
6E0,7FF
6E1,7FF
6E2,7FF
6E3,7FF
6E4,7FF
6E5,7FF
6E6,7FF
6E7,7FF
6E8,7FF
6E9,7FF
6EA,7FF
6EB,7FF
6EC,7FF
6ED,7FF
6EE,7FF
6EF,7FF
6F0,7FF
6F1,7FF
6F2,7FF
6F3,7FF
